func_name,elapsed_time,device_str,num_neurons,connection_prob,timestep,min_delay,max_delay,mean_spikes_per_neuron,mean_spikes_per_bin
clock_driven_dense,91.96811819076538,cpu,10000,0.4,0.001,0.002,0.004,48.00019836425781,4800.02001953125
clock_driven_dense,87.37454438209534,cpu,10000,0.5,0.001,0.002,0.004,48.0,4800.0
clock_driven_dense,69.68573260307312,cpu,10000,0.75,0.001,0.002,0.004,48.00019836425781,4800.02001953125
clock_driven_dense,85.02930021286011,cpu,10000,1,0.001,0.002,0.004,48.000999450683594,4800.10009765625
clock_driven_dense,0.00011920928955078125,cpu,10,0.01,0.001,0.002,0.004,0.0,0.0
clock_driven_dense,6.699562072753906e-05,cpu,10,0.05,0.001,0.002,0.004,0.8999999761581421,0.09000000357627869
clock_driven_dense,0.00011587142944335938,cpu,10,0.1,0.001,0.002,0.004,15.800000190734863,1.5800000429153442
clock_driven_dense,0.00010704994201660156,cpu,10,0.2,0.001,0.002,0.004,19.600000381469727,1.9600000381469727
clock_driven_dense,0.00015616416931152344,cpu,10,0.3,0.001,0.002,0.004,19.799999237060547,1.9800000190734863
clock_driven_dense,0.00016617774963378906,cpu,10,0.4,0.001,0.002,0.004,20.399999618530273,2.0399999618530273
clock_driven_dense,0.0001811981201171875,cpu,10,0.5,0.001,0.002,0.004,22.200000762939453,2.2200000286102295
clock_driven_dense,0.00020384788513183594,cpu,10,0.75,0.001,0.002,0.004,21.399999618530273,2.140000104904175
clock_driven_dense,0.00026988983154296875,cpu,10,1,0.001,0.002,0.004,23.0,2.299999952316284
clock_driven_dense,0.0006983280181884766,cpu,100,0.01,0.001,0.002,0.004,15.420000076293945,15.420000076293945
clock_driven_dense,0.0015530586242675781,cpu,100,0.05,0.001,0.002,0.004,21.34000015258789,21.34000015258789
clock_driven_dense,0.0023169517517089844,cpu,100,0.1,0.001,0.002,0.004,23.100000381469727,23.100000381469727
clock_driven_dense,0.004489898681640625,cpu,100,0.2,0.001,0.002,0.004,25.360000610351562,25.360000610351562
clock_driven_dense,0.0070953369140625,cpu,100,0.3,0.001,0.002,0.004,27.959999084472656,27.959999084472656
clock_driven_dense,0.01129460334777832,cpu,100,0.4,0.001,0.002,0.004,31.09000015258789,31.09000015258789
clock_driven_dense,0.015131235122680664,cpu,100,0.5,0.001,0.002,0.004,35.31999969482422,35.31999969482422
clock_driven_dense,0.025475502014160156,cpu,100,0.75,0.001,0.002,0.004,37.7599983215332,37.7599983215332
clock_driven_dense,0.03618812561035156,cpu,100,1,0.001,0.002,0.004,39.119998931884766,39.119998931884766
clock_driven_dense,0.0296175479888916,cpu,1000,0.01,0.001,0.002,0.004,22.988000869750977,229.8800048828125
clock_driven_dense,0.20407462120056152,cpu,1000,0.05,0.001,0.002,0.004,35.27000045776367,352.70001220703125
clock_driven_dense,0.47143054008483887,cpu,1000,0.1,0.001,0.002,0.004,39.194000244140625,391.94000244140625
clock_driven_dense,1.1362085342407227,cpu,1000,0.2,0.001,0.002,0.004,41.45399856567383,414.5400085449219
clock_driven_dense,1.9475536346435547,cpu,1000,0.3,0.001,0.002,0.004,42.41999816894531,424.20001220703125
clock_driven_dense,3.0869264602661133,cpu,1000,0.4,0.001,0.002,0.004,43.000999450683594,430.010009765625
clock_driven_dense,3.892099380493164,cpu,1000,0.5,0.001,0.002,0.004,44.0,440.0
clock_driven_dense,6.753082036972046,cpu,1000,0.75,0.001,0.002,0.004,44.00400161743164,440.0400085449219
clock_driven_dense,9.376611948013306,cpu,1000,1,0.001,0.002,0.004,45.0,450.0
clock_driven_dense,7.840375900268555,cpu,10000,0.01,0.001,0.002,0.004,39.311100006103516,3931.110107421875
